Timestamp,Vehicle No,Vehicle Type,Year,Coolant Temp,Oil Temp,Engine RPM,Throttle Pos,Engine Load,Speed,Fuel Level,Fuel Pressure,Intake Temp,Ambient Temp
2025-07-13T23:43:21.220330+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,743.0,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:24.179419+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,745.0,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:27.073032+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,753.5,12.5 %,26.3 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:29.845436+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,751.5,12.9 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:32.899695+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,749.0,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:35.745396+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,745.5,12.9 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:38.595158+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,756.5,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:41.365530+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,754.0,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:44.508274+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,743.0,12.5 %,26.3 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:47.345210+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,755.5,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:50.287027+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,745.5,12.9 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:53.076413+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,752.5,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:55.977170+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,763.5,12.5 %,26.7 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:43:58.876477+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,732.5,12.5 %,25.9 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
2025-07-13T23:44:01.633000+05:00,BBJ-91,Chery Tiggo 8 Pro,2023,78 °C,N/A,739.5,12.5 %,26.3 %,0.0 km/h,33.3 %,N/A,58 °C,54 °C
